departure,arrival
18:12,18:20
18:35,18:43
18:58,19:06
19:21,19:29
19:44,19:52
20:07,20:15
20:30,20:38
20:53,21:01
21:21,21:29
21:56,22:04
22:31,22:39
23:06,23:14
23:41,23:49
06:06,06:14
06:36,06:44
07:06,07:14
07:36,07:44
08:06,08:14
08:36,08:44
09:06,09:14
09:36,09:44
10:06,10:14
10:36,10:44
11:06,11:14
11:36,11:44
12:06,12:14
12:36,12:44
13:06,13:14
13:36,13:44
13:59,14:07
14:22,14:30
14:45,14:53
15:08,15:16
15:31,15:39
15:54,16:02
16:17,16:25
16:40,16:48
17:03,17:11
17:26,17:34
17:49,17:57
18:12,18:20
18:35,18:43
18:58,19:06
19:21,19:29
19:44,19:52
20:07,20:15
20:30,20:38
20:53,21:01
21:21,21:29
21:56,22:04
22:31,22:39
23:06,23:14
23:41,23:49
06:06,06:14
06:36,06:44
07:06,07:14
07:36,07:44
08:06,08:14
08:36,08:44
09:06,09:14
09:36,09:44
10:06,10:14
10:36,10:44
11:06,11:14
11:36,11:44
12:06,12:14
12:36,12:44
13:06,13:14
13:36,13:44
13:59,14:07
14:22,14:30
14:45,14:53
15:08,15:16
15:31,15:39
15:54,16:02
16:17,16:25
16:40,16:48
17:03,17:11
17:26,17:34
17:49,17:57
18:12,18:20
18:35,18:43
18:58,19:06
19:21,19:29
19:44,19:52
20:07,20:15
20:30,20:38
20:53,21:01
21:21,21:29
21:56,22:04
22:31,22:39
23:06,23:14
23:41,23:49
06:06,06:14
06:36,06:44
07:06,07:14
07:36,07:44
08:06,08:14
08:36,08:44
09:06,09:14
09:36,09:44
10:06,10:14
10:36,10:44
11:06,11:14
11:36,11:44
12:06,12:14
12:36,12:44
13:06,13:14
13:36,13:44
13:59,14:07
14:22,14:30
14:45,14:53
15:08,15:16
15:31,15:39
15:54,16:02
16:17,16:25
16:40,16:48
17:03,17:11
17:26,17:34
17:49,17:57
