departure,arrival
05:48,06:12
06:18,06:42
06:48,07:12
07:18,07:42
07:48,08:12
08:18,08:42
08:48,09:12
09:18,09:42
09:48,10:12
10:18,10:42
10:48,11:12
11:18,11:42
11:48,12:12
12:18,12:42
12:48,13:12
13:18,13:42
13:41,14:05
14:04,14:28
14:27,14:51
14:50,15:14
15:13,15:37
15:36,16:00
15:59,16:23
16:22,16:46
16:45,17:09
17:08,17:32
17:31,17:55
17:54,18:18
18:17,18:41
18:40,19:04
19:03,19:27
19:26,19:50
19:49,20:13
20:12,20:36
20:35,20:59
21:03,21:27
21:38,22:02
22:13,22:37
22:48,23:12
23:23,23:47
05:48,06:12
06:18,06:42
06:48,07:12
07:18,07:42
07:48,08:12
08:18,08:42
08:48,09:12
09:18,09:42
09:48,10:12
10:18,10:42
10:48,11:12
11:18,11:42
11:48,12:12
12:18,12:42
12:48,13:12
13:18,13:42
13:41,14:05
14:04,14:28
14:27,14:51
14:50,15:14
15:13,15:37
15:36,16:00
15:59,16:23
16:22,16:46
16:45,17:09
17:08,17:32
17:31,17:55
17:54,18:18
18:17,18:41
18:40,19:04
19:03,19:27
19:26,19:50
19:49,20:13
20:12,20:36
20:35,20:59
21:03,21:27
21:38,22:02
22:13,22:37
22:48,23:12
23:23,23:47
