departure,arrival
05:48,06:26
06:18,06:56
06:48,07:26
07:18,07:56
07:48,08:26
08:18,08:56
08:48,09:26
09:18,09:56
09:48,10:26
10:18,10:56
10:48,11:26
11:18,11:56
11:48,12:26
12:18,12:56
12:48,13:26
13:18,13:56
13:41,14:19
14:04,14:42
14:27,15:05
14:50,15:28
15:13,15:51
15:36,16:14
15:59,16:37
16:22,17:00
16:45,17:23
17:08,17:46
17:31,18:09
17:54,18:32
18:17,18:55
18:40,19:18
19:03,19:41
19:26,20:04
19:49,20:27
20:12,20:50
20:35,21:13
21:03,21:41
21:38,22:16
22:13,22:51
22:48,23:26
23:23,00:01
05:48,06:26
06:18,06:56
06:48,07:26
07:18,07:56
07:48,08:26
08:18,08:56
08:48,09:26
09:18,09:56
09:48,10:26
10:18,10:56
10:48,11:26
11:18,11:56
11:48,12:26
12:18,12:56
12:48,13:26
13:18,13:56
13:41,14:19
14:04,14:42
14:27,15:05
14:50,15:28
15:13,15:51
15:36,16:14
15:59,16:37
16:22,17:00
16:45,17:23
17:08,17:46
17:31,18:09
17:54,18:32
18:17,18:55
18:40,19:18
19:03,19:41
19:26,20:04
19:49,20:27
20:12,20:50
20:35,21:13
21:03,21:41
21:38,22:16
22:13,22:51
22:48,23:26
23:23,00:01
