departure,arrival
15:15,15:19
15:16,15:20
15:17,15:21
15:20,15:24
15:22,15:26
15:26,15:30
15:28,15:32
15:32,15:36
15:34,15:38
15:38,15:42
15:39,15:43
15:40,15:44
15:43,15:47
15:45,15:49
15:49,15:53
15:51,15:55
15:55,15:59
15:57,16:01
16:01,16:05
16:02,16:06
16:03,16:07
16:06,16:10
16:08,16:12
16:12,16:16
16:14,16:18
16:35,16:39
16:37,16:41
16:41,16:45
16:43,16:47
16:47,16:51
16:48,16:52
16:49,16:53
16:52,16:56
16:54,16:58
16:58,17:02
17:00,17:04
17:04,17:08
17:06,17:10
17:10,17:14
17:11,17:15
17:12,17:16
17:15,17:19
17:17,17:21
17:21,17:25
17:23,17:27
17:27,17:31
17:29,17:33
17:33,17:37
20:27,20:31
20:31,20:35
20:33,20:37
20:37,20:41
20:38,20:42
20:39,20:43
20:42,20:46
20:44,20:48
20:48,20:52
20:50,20:54
20:54,20:58
20:56,21:00
21:00,21:04
21:01,21:05
21:02,21:06
21:05,21:09
21:07,21:11
21:11,21:15
21:13,21:17
21:17,21:21
21:19,21:23
21:23,21:27
21:25,21:29
21:29,21:33
21:33,21:37
21:35,21:39
21:39,21:43
21:41,21:45
21:45,21:49
21:47,21:51
21:51,21:55
21:53,21:57
22:04,22:08
17:34,17:38
17:35,17:39
17:38,17:42
17:40,17:44
17:44,17:48
17:46,17:50
17:50,17:54
17:52,17:56
17:56,18:00
17:57,18:01
17:58,18:02
18:01,18:05
18:03,18:07
18:07,18:11
18:09,18:13
18:13,18:17
18:15,18:19
18:19,18:23
18:20,18:24
18:21,18:25
18:24,18:28
18:26,18:30
18:30,18:34
18:32,18:36
22:08,22:12
22:10,22:14
22:14,22:18
22:16,22:20
22:20,22:24
22:22,22:26
22:26,22:30
22:28,22:32
22:39,22:43
22:43,22:47
22:45,22:49
22:49,22:53
22:51,22:55
22:55,22:59
22:57,23:01
23:01,23:05
23:03,23:07
23:14,23:18
23:18,23:22
23:20,23:24
23:24,23:28
23:26,23:30
23:30,23:34
23:32,23:36
23:36,23:40
23:38,23:42
23:49,23:53
23:53,23:57
23:55,23:59
23:59,00:03
00:01,00:05
16:18,16:22
16:20,16:24
16:24,16:28
16:25,16:29
16:26,16:30
16:29,16:33
16:31,16:35
16:35,16:39
16:37,16:41
16:41,16:45
16:43,16:47
16:47,16:51
16:48,16:52
16:49,16:53
16:52,16:56
16:54,16:58
16:58,17:02
17:00,17:04
17:04,17:08
17:06,17:10
17:10,17:14
17:11,17:15
17:12,17:16
17:15,17:19
17:17,17:21
17:21,17:25
17:23,17:27
17:27,17:31
17:29,17:33
17:33,17:37
17:34,17:38
17:35,17:39
17:38,17:42
17:40,17:44
17:44,17:48
17:46,17:50
17:50,17:54
17:52,17:56
17:56,18:00
17:57,18:01
17:58,18:02
18:01,18:05
18:03,18:07
18:07,18:11
18:09,18:13
18:13,18:17
18:15,18:19
18:19,18:23
18:20,18:24
18:21,18:25
18:24,18:28
18:26,18:30
18:30,18:34
18:32,18:36
18:36,18:40
18:38,18:42
18:42,18:46
18:43,18:47
18:44,18:48
18:36,18:40
18:38,18:42
18:42,18:46
18:43,18:47
18:44,18:48
18:47,18:51
18:49,18:53
18:53,18:57
18:55,18:59
18:59,19:03
19:01,19:05
19:05,19:09
19:06,19:10
19:07,19:11
19:10,19:14
19:12,19:16
19:16,19:20
19:18,19:22
19:22,19:26
19:24,19:28
19:28,19:32
19:29,19:33
00:05,00:09
00:07,00:11
00:11,00:15
00:13,00:17
19:30,19:34
19:33,19:37
19:35,19:39
19:39,19:43
19:41,19:45
19:45,19:49
19:47,19:51
19:51,19:55
19:52,19:56
19:53,19:57
19:56,20:00
19:58,20:02
20:02,20:06
20:04,20:08
20:08,20:12
20:10,20:14
20:14,20:18
20:15,20:19
20:16,20:20
20:19,20:23
20:21,20:25
20:25,20:29
18:47,18:51
18:49,18:53
18:53,18:57
18:55,18:59
18:59,19:03
19:01,19:05
19:05,19:09
19:06,19:10
19:07,19:11
19:10,19:14
19:12,19:16
19:16,19:20
19:18,19:22
19:22,19:26
19:24,19:28
19:28,19:32
19:29,19:33
19:30,19:34
19:33,19:37
19:35,19:39
19:39,19:43
19:41,19:45
19:45,19:49
19:47,19:51
06:14,06:18
06:18,06:22
06:20,06:24
06:24,06:28
06:26,06:30
06:30,06:34
06:32,06:36
06:36,06:40
06:38,06:42
06:44,06:48
06:48,06:52
06:50,06:54
06:54,06:58
06:56,07:00
07:00,07:04
07:02,07:06
19:51,19:55
19:52,19:56
19:53,19:57
19:56,20:00
19:58,20:02
20:02,20:06
20:04,20:08
20:08,20:12
20:10,20:14
20:14,20:18
20:15,20:19
20:16,20:20
20:19,20:23
20:21,20:25
20:25,20:29
20:27,20:31
20:31,20:35
20:33,20:37
20:37,20:41
20:38,20:42
20:39,20:43
20:42,20:46
20:44,20:48
06:14,06:18
06:18,06:22
06:20,06:24
06:24,06:28
06:26,06:30
06:30,06:34
06:32,06:36
06:36,06:40
06:38,06:42
06:44,06:48
06:48,06:52
06:50,06:54
06:54,06:58
20:27,20:31
20:31,20:35
20:33,20:37
20:37,20:41
20:38,20:42
20:39,20:43
20:42,20:46
