departure,arrival
06:38,06:52
07:03,07:17
07:28,07:42
07:48,08:02
08:08,08:22
08:28,08:42
08:48,09:02
09:08,09:22
09:28,09:42
09:48,10:02
10:08,10:22
10:28,10:42
10:48,11:02
11:03,11:17
11:18,11:32
11:33,11:47
11:48,12:02
12:03,12:17
12:18,12:32
12:33,12:47
12:48,13:02
13:03,13:17
13:18,13:32
13:33,13:47
13:48,14:02
14:03,14:17
14:18,14:32
14:33,14:47
14:48,15:02
15:03,15:17
15:18,15:32
15:33,15:47
15:48,16:02
16:03,16:17
16:18,16:32
16:33,16:47
16:48,17:02
17:03,17:17
17:18,17:32
17:33,17:47
17:48,18:02
18:03,18:17
18:18,18:32
18:33,18:47
18:48,19:02
19:03,19:17
19:18,19:32
19:33,19:47
19:48,20:02
20:03,20:17
20:18,20:32
20:38,20:52
20:58,21:12
21:18,21:32
21:38,21:52
22:03,22:17
22:28,22:42
22:53,23:07
23:18,23:32
