departure,arrival
06:42,07:05
07:07,07:30
07:32,07:55
07:52,08:15
08:12,08:35
08:32,08:55
08:52,09:15
09:12,09:35
09:32,09:55
09:52,10:15
10:12,10:35
10:32,10:55
10:52,11:15
11:07,11:30
11:22,11:45
11:37,12:00
11:52,12:15
12:07,12:30
12:22,12:45
12:37,13:00
12:52,13:15
13:07,13:30
13:22,13:45
13:37,14:00
13:52,14:15
14:07,14:30
14:22,14:45
14:37,15:00
14:52,15:15
15:07,15:30
15:22,15:45
15:37,16:00
15:52,16:15
16:07,16:30
16:22,16:45
16:37,17:00
16:52,17:15
17:07,17:30
17:22,17:45
17:37,18:00
17:52,18:15
18:07,18:30
18:22,18:45
18:37,19:00
18:52,19:15
19:07,19:30
19:22,19:45
19:37,20:00
19:52,20:15
20:07,20:30
20:22,20:45
20:42,21:05
21:02,21:25
21:22,21:45
21:42,22:05
22:07,22:30
22:32,22:55
22:57,23:20
23:22,23:45
