departure,arrival
06:05,06:09
06:35,06:39
07:05,07:09
07:35,07:39
08:05,08:09
08:35,08:39
09:05,09:09
09:35,09:39
10:05,10:09
10:35,10:39
11:05,11:09
11:35,11:39
12:05,12:09
12:35,12:39
13:05,13:09
13:35,13:39
13:58,14:02
14:21,14:25
14:44,14:48
15:07,15:11
15:30,15:34
15:53,15:57
16:16,16:20
16:39,16:43
17:02,17:06
17:25,17:29
17:48,17:52
18:11,18:15
18:34,18:38
18:57,19:01
19:20,19:24
19:43,19:47
20:06,20:10
20:29,20:33
20:52,20:56
21:20,21:24
21:55,21:59
22:30,22:34
23:05,23:09
23:40,23:44
06:05,06:09
06:35,06:39
07:05,07:09
07:35,07:39
08:05,08:09
08:35,08:39
09:05,09:09
09:35,09:39
10:05,10:09
10:35,10:39
11:05,11:09
11:35,11:39
12:05,12:09
12:35,12:39
13:05,13:09
13:35,13:39
13:58,14:02
14:21,14:25
14:44,14:48
15:07,15:11
15:30,15:34
15:53,15:57
16:16,16:20
16:39,16:43
17:02,17:06
17:25,17:29
17:48,17:52
18:11,18:15
18:34,18:38
18:57,19:01
19:20,19:24
19:43,19:47
20:06,20:10
20:29,20:33
20:52,20:56
21:20,21:24
21:55,21:59
22:30,22:34
23:05,23:09
23:40,23:44
06:05,06:09
06:35,06:39
07:05,07:09
07:35,07:39
08:05,08:09
08:35,08:39
09:05,09:09
09:35,09:39
10:05,10:09
10:35,10:39
11:05,11:09
11:35,11:39
12:05,12:09
12:35,12:39
13:05,13:09
13:35,13:39
13:58,14:02
14:21,14:25
14:44,14:48
15:07,15:11
15:30,15:34
15:53,15:57
16:16,16:20
16:39,16:43
17:02,17:06
17:25,17:29
17:48,17:52
18:11,18:15
18:34,18:38
18:57,19:01
19:20,19:24
19:43,19:47
20:06,20:10
20:29,20:33
20:52,20:56
21:20,21:24
21:55,21:59
22:30,22:34
23:05,23:09
23:40,23:44
