departure,arrival
06:06,06:20
06:36,06:50
07:06,07:20
07:36,07:50
08:06,08:20
08:36,08:50
09:06,09:20
09:36,09:50
10:06,10:20
10:36,10:50
11:06,11:20
11:36,11:50
12:06,12:20
12:36,12:50
13:06,13:20
13:36,13:50
13:59,14:13
14:22,14:36
14:45,14:59
15:08,15:22
15:31,15:45
15:54,16:08
16:17,16:31
16:40,16:54
17:03,17:17
17:26,17:40
17:49,18:03
18:12,18:26
18:35,18:49
18:58,19:12
19:21,19:35
19:44,19:58
20:07,20:21
20:30,20:44
20:53,21:07
21:21,21:35
21:56,22:10
22:31,22:45
23:06,23:20
23:41,23:55
06:06,06:20
06:36,06:50
07:06,07:20
07:36,07:50
08:06,08:20
08:36,08:50
09:06,09:20
09:36,09:50
10:06,10:20
10:36,10:50
11:06,11:20
11:36,11:50
12:06,12:20
12:36,12:50
13:06,13:20
13:36,13:50
13:59,14:13
14:22,14:36
14:45,14:59
15:08,15:22
15:31,15:45
15:54,16:08
16:17,16:31
16:40,16:54
17:03,17:17
17:26,17:40
17:49,18:03
18:12,18:26
18:35,18:49
18:58,19:12
19:21,19:35
19:44,19:58
20:07,20:21
20:30,20:44
20:53,21:07
21:21,21:35
21:56,22:10
22:31,22:45
23:06,23:20
23:41,23:55
06:06,06:20
06:36,06:50
07:06,07:20
07:36,07:50
08:06,08:20
08:36,08:50
09:06,09:20
09:36,09:50
10:06,10:20
10:36,10:50
11:06,11:20
11:36,11:50
12:06,12:20
12:36,12:50
13:06,13:20
13:36,13:50
13:59,14:13
14:22,14:36
14:45,14:59
15:08,15:22
15:31,15:45
15:54,16:08
16:17,16:31
16:40,16:54
17:03,17:17
17:26,17:40
17:49,18:03
18:12,18:26
18:35,18:49
18:58,19:12
19:21,19:35
19:44,19:58
20:07,20:21
20:30,20:44
20:53,21:07
21:21,21:35
21:56,22:10
22:31,22:45
23:06,23:20
23:41,23:55
