departure,arrival
05:48,06:28
06:18,06:58
06:48,07:28
07:18,07:58
07:48,08:28
08:18,08:58
08:48,09:28
09:18,09:58
09:48,10:28
10:18,10:58
10:48,11:28
11:18,11:58
11:48,12:28
12:18,12:58
12:48,13:28
13:18,13:58
13:41,14:21
14:04,14:44
14:27,15:07
14:50,15:30
15:13,15:53
15:36,16:16
15:59,16:39
16:22,17:02
16:45,17:25
17:08,17:48
17:31,18:11
17:54,18:34
18:17,18:57
18:40,19:20
19:03,19:43
19:26,20:06
19:49,20:29
20:12,20:52
20:35,21:15
21:03,21:43
21:38,22:18
22:13,22:53
22:48,23:28
23:23,00:03
16:22,17:02
16:45,17:25
17:08,17:48
17:31,18:11
17:54,18:34
18:17,18:57
18:40,19:20
19:03,19:43
19:26,20:06
19:49,20:29
20:12,20:52
20:35,21:15
21:03,21:43
21:38,22:18
22:13,22:53
22:48,23:28
23:23,00:03
05:48,06:28
06:18,06:58
06:48,07:28
07:18,07:58
07:48,08:28
08:18,08:58
08:48,09:28
09:18,09:58
09:48,10:28
10:18,10:58
10:48,11:28
11:18,11:58
11:48,12:28
12:18,12:58
12:48,13:28
13:18,13:58
13:41,14:21
14:04,14:44
14:27,15:07
14:50,15:30
15:13,15:53
15:36,16:16
15:59,16:39
