departure,arrival
12:12,12:14
12:18,12:20
12:24,12:26
12:30,12:32
12:42,12:44
12:48,12:50
12:54,12:56
13:00,13:02
13:12,13:14
13:18,13:20
13:24,13:26
13:30,13:32
13:42,13:44
13:48,13:50
13:54,13:56
14:00,14:02
14:05,14:07
14:11,14:13
14:17,14:19
14:23,14:25
14:28,14:30
14:34,14:36
14:40,14:42
14:46,14:48
14:51,14:53
14:57,14:59
15:03,15:05
15:09,15:11
15:14,15:16
15:20,15:22
15:26,15:28
15:32,15:34
15:37,15:39
15:43,15:45
15:49,15:51
15:55,15:57
16:00,16:02
16:06,16:08
16:12,16:14
16:18,16:20
16:23,16:25
16:29,16:31
16:35,16:37
16:41,16:43
16:46,16:48
16:52,16:54
16:58,17:00
17:04,17:06
17:09,17:11
17:15,17:17
17:21,17:23
17:27,17:29
17:32,17:34
17:38,17:40
17:44,17:46
17:50,17:52
17:55,17:57
18:01,18:03
18:07,18:09
18:13,18:15
18:18,18:20
18:24,18:26
18:30,18:32
18:36,18:38
18:41,18:43
18:47,18:49
18:53,18:55
18:59,19:01
19:04,19:06
19:10,19:12
19:16,19:18
19:22,19:24
19:27,19:29
19:33,19:35
19:39,19:41
19:45,19:47
19:50,19:52
19:56,19:58
20:02,20:04
20:08,20:10
20:13,20:15
20:19,20:21
20:25,20:27
20:31,20:33
20:36,20:38
20:42,20:44
20:48,20:50
20:54,20:56
20:59,21:01
21:05,21:07
21:11,21:13
21:17,21:19
21:27,21:29
06:12,06:14
06:18,06:20
06:42,06:44
06:48,06:50
07:12,07:14
07:18,07:20
07:42,07:44
07:48,07:50
08:12,08:14
08:18,08:20
08:42,08:44
08:48,08:50
09:12,09:14
09:18,09:20
09:42,09:44
09:48,09:50
10:12,10:14
10:18,10:20
10:42,10:44
10:48,10:50
11:12,11:14
11:18,11:20
11:42,11:44
11:48,11:50
12:12,12:14
12:18,12:20
12:42,12:44
12:48,12:50
13:12,13:14
13:18,13:20
13:42,13:44
13:48,13:50
14:05,14:07
14:11,14:13
14:28,14:30
14:34,14:36
21:33,21:35
21:39,21:41
21:45,21:47
22:02,22:04
22:08,22:10
22:14,22:16
22:20,22:22
22:37,22:39
22:43,22:45
22:49,22:51
22:55,22:57
23:12,23:14
23:18,23:20
23:24,23:26
23:47,23:49
23:53,23:55
23:59,00:01
14:51,14:53
14:57,14:59
15:14,15:16
15:20,15:22
15:37,15:39
15:43,15:45
16:00,16:02
16:06,16:08
16:23,16:25
16:29,16:31
16:46,16:48
16:52,16:54
17:09,17:11
17:15,17:17
17:32,17:34
17:38,17:40
17:55,17:57
18:01,18:03
18:18,18:20
18:24,18:26
18:41,18:43
18:47,18:49
19:04,19:06
06:12,06:14
06:18,06:20
06:24,06:26
06:42,06:44
06:48,06:50
06:54,06:56
07:12,07:14
07:18,07:20
07:24,07:26
07:42,07:44
07:48,07:50
07:54,07:56
08:12,08:14
08:18,08:20
08:24,08:26
08:42,08:44
08:48,08:50
08:54,08:56
09:12,09:14
09:18,09:20
09:24,09:26
09:42,09:44
09:48,09:50
09:54,09:56
19:10,19:12
19:27,19:29
19:33,19:35
19:50,19:52
19:56,19:58
20:13,20:15
20:19,20:21
20:36,20:38
20:42,20:44
20:59,21:01
21:05,21:07
21:27,21:29
21:33,21:35
22:02,22:04
22:08,22:10
22:37,22:39
22:43,22:45
23:12,23:14
23:18,23:20
23:47,23:49
23:53,23:55
10:12,10:14
10:18,10:20
10:24,10:26
10:42,10:44
10:48,10:50
10:54,10:56
11:12,11:14
11:18,11:20
11:24,11:26
11:42,11:44
11:48,11:50
11:54,11:56
12:12,12:14
12:18,12:20
12:24,12:26
12:42,12:44
12:48,12:50
12:54,12:56
13:12,13:14
13:18,13:20
13:24,13:26
13:42,13:44
13:48,13:50
13:54,13:56
14:05,14:07
14:11,14:13
14:17,14:19
14:28,14:30
14:34,14:36
14:40,14:42
14:51,14:53
14:57,14:59
15:03,15:05
15:14,15:16
15:20,15:22
15:26,15:28
15:37,15:39
15:43,15:45
15:49,15:51
16:00,16:02
16:06,16:08
16:12,16:14
16:23,16:25
16:29,16:31
16:35,16:37
16:46,16:48
16:52,16:54
16:58,17:00
17:09,17:11
17:15,17:17
17:21,17:23
17:32,17:34
17:38,17:40
17:44,17:46
17:55,17:57
18:01,18:03
18:07,18:09
18:18,18:20
18:24,18:26
18:30,18:32
18:41,18:43
18:47,18:49
18:53,18:55
19:04,19:06
19:10,19:12
19:16,19:18
19:27,19:29
19:33,19:35
19:39,19:41
19:50,19:52
19:56,19:58
20:02,20:04
20:13,20:15
20:19,20:21
20:25,20:27
20:36,20:38
20:42,20:44
20:48,20:50
20:59,21:01
21:05,21:07
21:11,21:13
21:27,21:29
21:33,21:35
21:39,21:41
22:02,22:04
22:08,22:10
22:14,22:16
22:37,22:39
22:43,22:45
22:49,22:51
23:12,23:14
23:18,23:20
23:24,23:26
23:47,23:49
23:53,23:55
23:59,00:01
06:12,06:14
06:18,06:20
06:24,06:26
06:30,06:32
06:42,06:44
06:48,06:50
06:54,06:56
07:00,07:02
07:12,07:14
07:18,07:20
07:24,07:26
07:30,07:32
07:42,07:44
07:48,07:50
07:54,07:56
08:00,08:02
08:12,08:14
08:18,08:20
08:24,08:26
08:30,08:32
08:42,08:44
08:48,08:50
08:54,08:56
09:00,09:02
09:12,09:14
09:18,09:20
09:24,09:26
09:30,09:32
09:42,09:44
09:48,09:50
09:54,09:56
10:00,10:02
10:12,10:14
10:18,10:20
10:24,10:26
10:30,10:32
10:42,10:44
10:48,10:50
10:54,10:56
11:00,11:02
11:12,11:14
11:18,11:20
11:24,11:26
11:30,11:32
11:42,11:44
11:48,11:50
11:54,11:56
12:00,12:02
