departure,arrival
06:35,06:48
07:00,07:13
07:25,07:38
07:45,07:58
08:05,08:18
08:25,08:38
08:45,08:58
09:05,09:18
09:25,09:38
09:45,09:58
10:05,10:18
10:25,10:38
10:45,10:58
11:00,11:13
11:15,11:28
11:30,11:43
11:45,11:58
12:00,12:13
12:15,12:28
12:30,12:43
12:45,12:58
13:00,13:13
13:15,13:28
13:30,13:43
13:45,13:58
14:00,14:13
14:15,14:28
14:30,14:43
14:45,14:58
15:00,15:13
15:15,15:28
15:30,15:43
15:45,15:58
16:00,16:13
16:15,16:28
16:30,16:43
16:45,16:58
17:00,17:13
17:15,17:28
17:30,17:43
17:45,17:58
18:00,18:13
18:15,18:28
18:30,18:43
18:45,18:58
19:00,19:13
19:15,19:28
19:30,19:43
19:45,19:58
20:00,20:13
20:15,20:28
20:35,20:48
20:55,21:08
21:15,21:28
21:35,21:48
22:00,22:13
22:25,22:38
22:50,23:03
23:15,23:28
