departure,arrival
06:42,06:48
07:07,07:13
07:32,07:38
07:52,07:58
08:12,08:18
08:32,08:38
08:52,08:58
09:12,09:18
09:32,09:38
09:52,09:58
10:12,10:18
10:32,10:38
10:52,10:58
11:07,11:13
11:22,11:28
11:37,11:43
11:52,11:58
12:07,12:13
12:22,12:28
12:37,12:43
12:52,12:58
13:07,13:13
13:22,13:28
13:37,13:43
13:52,13:58
14:07,14:13
14:22,14:28
14:37,14:43
14:52,14:58
15:07,15:13
15:22,15:28
15:37,15:43
15:52,15:58
16:07,16:13
16:22,16:28
16:37,16:43
16:52,16:58
17:07,17:13
17:22,17:28
17:37,17:43
17:52,17:58
18:07,18:13
18:22,18:28
18:37,18:43
18:52,18:58
19:07,19:13
19:22,19:28
19:37,19:43
19:52,19:58
20:07,20:13
20:22,20:28
20:42,20:48
21:02,21:08
21:22,21:28
21:42,21:48
22:07,22:13
22:32,22:38
22:57,23:03
23:22,23:28
