departure,arrival
12:48,13:06
13:18,13:36
13:41,13:59
14:04,14:22
14:27,14:45
14:50,15:08
15:13,15:31
15:36,15:54
15:59,16:17
16:22,16:40
16:45,17:03
17:08,17:26
17:31,17:49
17:54,18:12
18:17,18:35
18:40,18:58
19:03,19:21
19:26,19:44
19:49,20:07
20:12,20:30
20:35,20:53
21:03,21:21
21:38,21:56
22:13,22:31
22:48,23:06
23:23,23:41
05:48,06:06
06:18,06:36
06:48,07:06
07:18,07:36
07:48,08:06
08:18,08:36
08:48,09:06
09:18,09:36
09:48,10:06
10:18,10:36
10:48,11:06
11:18,11:36
11:48,12:06
12:18,12:36
12:48,13:06
13:18,13:36
13:41,13:59
14:04,14:22
14:27,14:45
14:50,15:08
15:13,15:31
15:36,15:54
15:59,16:17
16:22,16:40
16:45,17:03
17:08,17:26
17:31,17:49
17:54,18:12
18:17,18:35
18:40,18:58
19:03,19:21
19:26,19:44
19:49,20:07
20:12,20:30
20:35,20:53
21:03,21:21
21:38,21:56
22:13,22:31
22:48,23:06
23:23,23:41
05:48,06:06
06:18,06:36
06:48,07:06
07:18,07:36
07:48,08:06
08:18,08:36
08:48,09:06
09:18,09:36
09:48,10:06
10:18,10:36
10:48,11:06
11:18,11:36
11:48,12:06
12:18,12:36
