departure,arrival
12:32,12:36
13:02,13:06
13:32,13:36
13:55,13:59
14:18,14:22
14:41,14:45
15:04,15:08
15:27,15:31
15:50,15:54
16:13,16:17
16:36,16:40
16:59,17:03
17:22,17:26
17:45,17:49
18:08,18:12
18:31,18:35
18:54,18:58
19:17,19:21
19:40,19:44
20:03,20:07
20:26,20:30
20:49,20:53
06:02,06:06
06:32,06:36
07:02,07:06
07:32,07:36
08:02,08:06
08:32,08:36
09:02,09:06
09:32,09:36
10:02,10:06
10:32,10:36
11:02,11:06
11:32,11:36
12:02,12:06
12:32,12:36
13:02,13:06
13:32,13:36
13:55,13:59
14:18,14:22
14:41,14:45
15:04,15:08
15:27,15:31
15:50,15:54
16:13,16:17
16:36,16:40
16:59,17:03
21:17,21:21
21:52,21:56
22:27,22:31
23:02,23:06
23:37,23:41
17:22,17:26
17:45,17:49
18:08,18:12
18:31,18:35
18:54,18:58
19:17,19:21
19:40,19:44
20:03,20:07
20:26,20:30
20:49,20:53
21:17,21:21
21:52,21:56
22:27,22:31
23:02,23:06
23:37,23:41
06:02,06:06
06:32,06:36
07:02,07:06
07:32,07:36
08:02,08:06
08:32,08:36
09:02,09:06
09:32,09:36
10:02,10:06
10:32,10:36
11:02,11:06
11:32,11:36
12:02,12:06
12:32,12:36
13:02,13:06
13:32,13:36
13:55,13:59
14:18,14:22
14:41,14:45
15:04,15:08
15:27,15:31
15:50,15:54
16:13,16:17
16:36,16:40
16:59,17:03
17:22,17:26
17:45,17:49
18:08,18:12
18:31,18:35
18:54,18:58
19:17,19:21
19:40,19:44
20:03,20:07
20:26,20:30
20:49,20:53
21:17,21:21
21:52,21:56
22:27,22:31
23:02,23:06
23:37,23:41
06:02,06:06
06:32,06:36
07:02,07:06
07:32,07:36
08:02,08:06
08:32,08:36
09:02,09:06
09:32,09:36
10:02,10:06
10:32,10:36
11:02,11:06
11:32,11:36
12:02,12:06
