departure,arrival
06:01,06:12
06:31,06:42
07:01,07:12
07:31,07:42
08:01,08:12
08:31,08:42
09:01,09:12
09:31,09:42
10:01,10:12
10:31,10:42
11:01,11:12
11:31,11:42
12:01,12:12
12:31,12:42
13:01,13:12
13:31,13:42
13:54,14:05
14:17,14:28
14:40,14:51
15:03,15:14
15:26,15:37
15:49,16:00
16:12,16:23
16:35,16:46
16:58,17:09
17:21,17:32
17:44,17:55
18:07,18:18
18:30,18:41
18:53,19:04
19:16,19:27
19:39,19:50
20:02,20:13
20:25,20:36
20:48,20:59
21:16,21:27
21:51,22:02
22:26,22:37
23:01,23:12
23:36,23:47
06:01,06:12
06:31,06:42
07:01,07:12
07:31,07:42
08:01,08:12
08:31,08:42
09:01,09:12
09:31,09:42
10:01,10:12
10:31,10:42
11:01,11:12
11:31,11:42
12:01,12:12
12:31,12:42
13:01,13:12
13:31,13:42
13:54,14:05
14:17,14:28
14:40,14:51
15:03,15:14
15:26,15:37
15:49,16:00
16:12,16:23
16:35,16:46
16:58,17:09
17:21,17:32
17:44,17:55
18:07,18:18
18:30,18:41
18:53,19:04
19:16,19:27
19:39,19:50
20:02,20:13
20:25,20:36
20:48,20:59
21:16,21:27
21:51,22:02
22:26,22:37
23:01,23:12
23:36,23:47
06:01,06:12
06:31,06:42
07:01,07:12
07:31,07:42
08:01,08:12
08:31,08:42
09:01,09:12
09:31,09:42
10:01,10:12
10:31,10:42
11:01,11:12
11:31,11:42
12:01,12:12
12:31,12:42
13:01,13:12
13:31,13:42
13:54,14:05
14:17,14:28
14:40,14:51
15:03,15:14
15:26,15:37
15:49,16:00
16:12,16:23
16:35,16:46
16:58,17:09
17:21,17:32
17:44,17:55
18:07,18:18
18:30,18:41
18:53,19:04
19:16,19:27
19:39,19:50
20:02,20:13
20:25,20:36
20:48,20:59
21:16,21:27
21:51,22:02
22:26,22:37
23:01,23:12
23:36,23:47
