departure,arrival
07:32,08:15
08:02,08:45
08:32,09:15
09:02,09:45
09:32,10:15
10:02,10:45
10:32,11:15
11:02,11:45
11:32,12:15
12:02,12:45
12:32,13:15
13:02,13:45
13:32,14:15
13:55,14:38
14:18,15:01
14:41,15:24
15:04,15:47
15:27,16:10
15:50,16:33
16:13,16:56
16:36,17:19
16:59,17:42
17:22,18:05
17:45,18:28
18:08,18:51
18:31,19:14
18:54,19:37
19:17,20:00
19:40,20:23
20:03,20:46
20:26,21:09
20:49,21:32
21:17,22:00
21:52,22:35
22:27,23:10
23:02,23:45
23:37,00:20
06:02,06:45
06:32,07:15
07:02,07:45
07:32,08:15
08:02,08:45
08:32,09:15
09:02,09:45
09:32,10:15
10:02,10:45
10:32,11:15
11:02,11:45
11:32,12:15
12:02,12:45
12:32,13:15
13:02,13:45
13:32,14:15
13:55,14:38
14:18,15:01
14:41,15:24
15:04,15:47
15:27,16:10
15:50,16:33
16:13,16:56
16:36,17:19
16:59,17:42
17:22,18:05
17:45,18:28
18:08,18:51
18:31,19:14
18:54,19:37
19:17,20:00
19:40,20:23
20:03,20:46
20:26,21:09
20:49,21:32
21:17,22:00
21:52,22:35
22:27,23:10
23:02,23:45
23:37,00:20
14:18,15:01
14:41,15:24
15:04,15:47
15:27,16:10
15:50,16:33
16:13,16:56
16:36,17:19
16:59,17:42
17:22,18:05
17:45,18:28
18:08,18:51
18:31,19:14
18:54,19:37
19:17,20:00
19:40,20:23
20:03,20:46
20:26,21:09
20:49,21:32
21:17,22:00
21:52,22:35
22:27,23:10
23:02,23:45
23:37,00:20
06:02,06:45
06:32,07:15
07:02,07:45
06:02,06:45
06:32,07:15
07:02,07:45
07:32,08:15
08:02,08:45
08:32,09:15
09:02,09:45
09:32,10:15
10:02,10:45
10:32,11:15
11:02,11:45
11:32,12:15
12:02,12:45
12:32,13:15
13:02,13:45
13:32,14:15
13:55,14:38
