departure,arrival
06:58,07:00
07:23,07:25
07:48,07:50
08:08,08:10
08:28,08:30
08:48,08:50
09:08,09:10
09:28,09:30
09:48,09:50
10:08,10:10
10:28,10:30
10:48,10:50
11:08,11:10
11:23,11:25
11:38,11:40
11:53,11:55
12:08,12:10
12:23,12:25
12:38,12:40
12:53,12:55
13:08,13:10
13:23,13:25
13:38,13:40
13:53,13:55
14:08,14:10
14:23,14:25
14:38,14:40
14:53,14:55
15:08,15:10
15:23,15:25
15:38,15:40
15:53,15:55
16:08,16:10
16:23,16:25
16:38,16:40
16:53,16:55
17:08,17:10
17:23,17:25
17:38,17:40
17:53,17:55
18:08,18:10
18:23,18:25
18:38,18:40
18:53,18:55
19:08,19:10
19:23,19:25
19:38,19:40
19:53,19:55
20:08,20:10
20:23,20:25
20:38,20:40
20:58,21:00
21:18,21:20
21:38,21:40
21:58,22:00
22:23,22:25
22:48,22:50
23:13,23:15
23:38,23:40
