departure,arrival
06:42,06:50
07:07,07:15
07:32,07:40
07:52,08:00
08:12,08:20
08:32,08:40
08:52,09:00
09:12,09:20
09:32,09:40
09:52,10:00
10:12,10:20
10:32,10:40
10:52,11:00
11:07,11:15
11:22,11:30
11:37,11:45
11:52,12:00
12:07,12:15
12:22,12:30
12:37,12:45
12:52,13:00
13:07,13:15
13:22,13:30
13:37,13:45
13:52,14:00
14:07,14:15
14:22,14:30
14:37,14:45
14:52,15:00
15:07,15:15
15:22,15:30
15:37,15:45
15:52,16:00
16:07,16:15
16:22,16:30
16:37,16:45
16:52,17:00
17:07,17:15
17:22,17:30
17:37,17:45
17:52,18:00
18:07,18:15
18:22,18:30
18:37,18:45
18:52,19:00
19:07,19:15
19:22,19:30
19:37,19:45
19:52,20:00
20:07,20:15
20:22,20:30
20:42,20:50
21:02,21:10
21:22,21:30
21:42,21:50
22:07,22:15
22:32,22:40
22:57,23:05
23:22,23:30
