departure,arrival
06:48,07:00
07:13,07:25
07:38,07:50
07:58,08:10
08:18,08:30
08:38,08:50
08:58,09:10
09:18,09:30
09:38,09:50
09:58,10:10
10:18,10:30
10:38,10:50
10:58,11:10
11:13,11:25
11:28,11:40
11:43,11:55
11:58,12:10
12:13,12:25
12:28,12:40
12:43,12:55
12:58,13:10
13:13,13:25
13:28,13:40
13:43,13:55
13:58,14:10
14:13,14:25
14:28,14:40
14:43,14:55
14:58,15:10
15:13,15:25
15:28,15:40
15:43,15:55
15:58,16:10
16:13,16:25
16:28,16:40
16:43,16:55
16:58,17:10
17:13,17:25
17:28,17:40
17:43,17:55
17:58,18:10
18:13,18:25
18:28,18:40
18:43,18:55
18:58,19:10
19:13,19:25
19:28,19:40
19:43,19:55
19:58,20:10
20:13,20:25
20:28,20:40
20:48,21:00
21:08,21:20
21:28,21:40
21:48,22:00
22:13,22:25
22:38,22:50
23:03,23:15
23:28,23:40
