departure,arrival
19:41,19:43
19:43,19:45
19:47,19:49
19:49,19:51
19:53,19:55
19:54,19:56
19:55,19:57
19:58,20:00
20:00,20:02
20:04,20:06
20:06,20:08
20:10,20:12
20:12,20:14
20:16,20:18
20:17,20:19
20:18,20:20
20:21,20:23
20:23,20:25
20:27,20:29
20:29,20:31
20:33,20:35
20:35,20:37
20:39,20:41
14:15,14:17
14:19,14:21
14:21,14:23
14:25,14:27
14:27,14:29
14:31,14:33
14:32,14:34
14:33,14:35
14:36,14:38
14:38,14:40
14:42,14:44
14:44,14:46
14:48,14:50
14:50,14:52
14:54,14:56
14:55,14:57
14:56,14:58
14:59,15:01
15:01,15:03
15:05,15:07
15:07,15:09
15:11,15:13
15:13,15:15
15:17,15:19
15:18,15:20
15:19,15:21
15:22,15:24
15:24,15:26
15:28,15:30
15:30,15:32
15:34,15:36
15:36,15:38
15:40,15:42
15:41,15:43
15:42,15:44
15:45,15:47
15:47,15:49
15:51,15:53
15:53,15:55
15:57,15:59
13:32,13:34
13:34,13:36
13:38,13:40
13:40,13:42
13:46,13:48
13:50,13:52
13:52,13:54
13:56,13:58
13:58,14:00
14:02,14:04
14:04,14:06
14:08,14:10
14:09,14:11
14:10,14:12
14:13,14:15
14:15,14:17
14:19,14:21
14:21,14:23
14:25,14:27
14:27,14:29
14:31,14:33
14:32,14:34
14:33,14:35
14:36,14:38
14:38,14:40
14:42,14:44
14:44,14:46
14:48,14:50
14:50,14:52
14:54,14:56
14:55,14:57
14:56,14:58
15:59,16:01
16:03,16:05
16:04,16:06
16:05,16:07
16:08,16:10
16:10,16:12
16:14,16:16
16:16,16:18
16:20,16:22
16:22,16:24
16:26,16:28
16:27,16:29
16:28,16:30
16:31,16:33
16:33,16:35
16:37,16:39
16:39,16:41
16:43,16:45
16:45,16:47
16:49,16:51
16:50,16:52
16:51,16:53
16:54,16:56
16:56,16:58
17:00,17:02
17:02,17:04
17:06,17:08
17:08,17:10
17:12,17:14
17:13,17:15
17:14,17:16
17:17,17:19
17:19,17:21
17:23,17:25
17:25,17:27
17:29,17:31
17:31,17:33
06:16,06:18
06:20,06:22
06:22,06:24
06:26,06:28
06:28,06:30
06:32,06:34
06:34,06:36
06:38,06:40
06:40,06:42
06:46,06:48
06:50,06:52
06:52,06:54
06:56,06:58
06:58,07:00
20:40,20:42
20:41,20:43
20:44,20:46
20:46,20:48
20:50,20:52
20:52,20:54
20:56,20:58
20:58,21:00
21:02,21:04
21:03,21:05
21:04,21:06
21:07,21:09
21:09,21:11
21:13,21:15
21:15,21:17
21:19,21:21
21:21,21:23
