departure,arrival
20:36,21:07
21:04,21:35
21:39,22:10
22:14,22:45
22:49,23:20
23:24,23:55
05:49,06:20
06:19,06:50
06:49,07:20
07:19,07:50
07:49,08:20
08:19,08:50
08:49,09:20
09:19,09:50
09:49,10:20
10:19,10:50
10:49,11:20
11:19,11:50
11:49,12:20
12:19,12:50
12:49,13:20
13:19,13:50
13:42,14:13
14:05,14:36
14:28,14:59
14:51,15:22
15:14,15:45
15:37,16:08
16:00,16:31
16:23,16:54
16:46,17:17
17:09,17:40
17:32,18:03
17:55,18:26
18:18,18:49
18:41,19:12
19:04,19:35
19:27,19:58
19:50,20:21
20:13,20:44
20:36,21:07
21:04,21:35
21:39,22:10
22:14,22:45
22:49,23:20
23:24,23:55
05:49,06:20
06:19,06:50
06:49,07:20
07:19,07:50
07:49,08:20
08:19,08:50
08:49,09:20
09:19,09:50
09:49,10:20
10:19,10:50
10:49,11:20
11:19,11:50
11:49,12:20
12:19,12:50
12:49,13:20
13:19,13:50
13:42,14:13
14:05,14:36
14:28,14:59
14:51,15:22
15:14,15:45
15:37,16:08
16:00,16:31
16:23,16:54
16:46,17:17
17:09,17:40
17:32,18:03
17:55,18:26
18:18,18:49
18:41,19:12
19:04,19:35
19:27,19:58
19:50,20:21
20:13,20:44
