departure,arrival
06:44,06:50
07:09,07:15
07:34,07:40
07:54,08:00
08:14,08:20
08:34,08:40
08:54,09:00
09:14,09:20
09:34,09:40
09:54,10:00
10:14,10:20
10:34,10:40
10:54,11:00
11:09,11:15
11:24,11:30
11:39,11:45
11:54,12:00
12:09,12:15
12:24,12:30
12:39,12:45
12:54,13:00
13:09,13:15
13:24,13:30
13:39,13:45
13:54,14:00
14:09,14:15
14:24,14:30
14:39,14:45
14:54,15:00
15:09,15:15
15:24,15:30
15:39,15:45
15:54,16:00
16:09,16:15
16:24,16:30
16:39,16:45
16:54,17:00
17:09,17:15
17:24,17:30
17:39,17:45
17:54,18:00
18:09,18:15
18:24,18:30
18:39,18:45
18:54,19:00
19:09,19:15
19:24,19:30
19:39,19:45
19:54,20:00
20:09,20:15
20:24,20:30
20:44,20:50
21:04,21:10
21:24,21:30
21:44,21:50
22:09,22:15
22:34,22:40
22:59,23:05
23:24,23:30
